#Verb,Root,Sep?,Trans,
abgehen,gehen,y,to exit,
angehen,gehen,y,to tackle,to concern something
ausgehen,gehen,y,to go out,
aufgehen,gehen,y,to rise,
durchgehen,gehen,y,to go through,
mitgehen,gehen,y,to accompany,
nachgehen,gehen,y,to pursue,
vorgehen,gehen,y,to proceed,
uebergehen,gehen,y,to skip,to ignore
umgehen,gehen,n,to bypass,
untergehen,gehen,n,to sink,to descend
zugeen,gehen,y,to approach,to close
abstellen,stellen,y,to put down,to turn off
anstellen,stellen,y,to lean on,to attempt
aufstellen,stellen,y,to arrange,to establish
bestellen,stellen,n,to order,
