to be,2
to have,8
to do,18
to say,34
to go,40
to get,44
to make,46
to see,51
to know,52
to take,54
to think,64
to come,66
to give,76
to look,90
to use,92
to find,100
to want,103
to tell,116
to put,125
to work,129
to become,130
to mean,134
to leave,136
to seem,143
to need,147
to feel,148
to may,152
to ask,154
to show,163
to try,174
to call,175
to keep,189
to provide,195
to hold,197
to follow,203
to turn,205
to bring,211
to begin,214
to like,221
to write,223
to start,228
to run,229
to set,232
to help,233
to play,245
to move,249
to pay,257
to hear,258
to meet,267
to include,272
to believe,273
to allow,279
to lead,284
to stand,285
to live,289
to happen,295
to carry,302
to talk,310
to sit,317
to appear,319
to continue,320
to let,330
to produce,332
to involve,341
to require,343
to suggest,344
to consider,349
to read,350
to change,351
to offer,355
to lose,362
to add,363
to expect,365
to remember,374
to remain,381
to fall,387
to speak,388
to open,392
to buy,394
to stop,401
to send,404
to decide,406
to win,408
to understand,409
to develop,411
to receive,414
to return,417
to build,418
to spend,419
to describe,427
to agree,428
to increase,430
to learn,432
to reach,445
to lie,447
to walk,463
to die,464
to draw,472
to hope,473
to create,482
to sell,494
to report,500
to pass,501
to accept,507
to cause,512
to watch,518
to break,532
to support,534
to explain,537
to stay,538
to wait,540
to cover,546
to apply,547
to raise,549
to claim,554
to form,555
to base,556
to cut,563
to grow,564
to contain,585
to bear,592
to join,594
to reduce,595
to establish,596
to face,599
to choose,608
to wish,609
to achieve,611
to drive,618
to deal,619
to place,620
to seek,624
to fail,632
to serve,645
to end,647
to occur,650
to kill,653
to act,654
to plan,658
to eat,662
to close,664
to represent,665
to love,666
to rise,678
to prepare,683
to manage,688
to discuss,690
to prove,691
to catch,701
to pick,703
to enjoy,709
to suppose,711
to wear,714
to argue,728
to introduce,731
to enter,733
to arrive,735
to ensure,736
to pull,743
to refer,747
to thank,752
to present,756
to control,766
to affect,789
to point,795
to identify,797
to relate,806
to force,809
to compare,811
to suffer,812
to announce,815
to obtain,824
to indicate,827
to forget,828
to publish,835
to visit,838
to listen,844
to finish,852
to fight,854
to train,855
to maintain,856
to save,860
to design,862
to improve,865
to avoid,866
to wonder,867
to tend,868
to express,875
to determine,877
to exist,880
to share,882
to smile,885
to treat,890
to remove,891
to state,902
to throw,908
to fill,910
to assume,912
to mention,921
to admit,925
to replace,927
to reflect,935
to intend,944
to encourage,948
to miss,952
to drop,957
to fly,962
to reveal,963
to operate,967
to discover,974
to record,978
to refuse,979
to prevent,980
to teach,983
to cost,987
to answer,989
to depend,992
to hit,998
to regard,1003
to result,1016
to attempt,1022
to enable,1023
to realise,1032
to complete,1036
to notice,1041
to extend,1052
to check,1057
to laugh,1066
to sound,1068
to recognise,1076
to fit,1080
to push,1084
to sign,1094
to define,1097
to shake,1106
to study,1107
to examine,1114
to mind,1124
to drink,1129
to gain,1132
to arise,1139
to attend,1148
to associate,1156
to hang,1165
to perform,1167
to marry,1171
to protect,1174
to adopt,1186
to confirm,1193
to star,1208
to mark,1210
to clear,1213
to imagine,1214
to travel,1221
to issue,1227
to supply,1230
to beat,1231
to strike,1237
to demand,1241
to employ,1244
to shoot,1245
to test,1254
to order,1255
to release,1259
to emerge,1271
to ring,1273
to aim,1281
to link,1285
to collect,1298
to lay,1300
to reply,1308
to press,1309
to approach,1310
to survive,1315
to settle,1320
to observe,1323
to limit,1324
to deny,1325
to worry,1340
to cross,1343
to charge,1345
to respond,1348
to grant,1354
to concentrate,1355
to ignore,1356
to lift,1368
to stick,1369
to arrange,1379
to sleep,1381
to promise,1394
to touch,1400
to vary,1401
to prefer,1412
to repeat,1420
to commit,1426
to measure,1441
to insist,1442
to warn,1450
to award,1458
to attack,1464
to bind,1472
to threaten,1475
to launch,1477
to cry,1486
to experience,1490
to concern,1495
to attract,1498
to appoint,1500
to note,1501
to date,1506
to demonstrate,1507
to acquire,1512
to propos,1515
to impose,1517
to market,1518
to care,1519
to name,1523
to sing,1534
to own,1536
to head,1537
to deliver,1539
to invite,1542
to retain,1547
to contribute,1553
to spread,1559
to account,1562
to last,1564
to assess,1570
to promote,1571
to nod,1576
to reject,1577
to vote,1581
to divide,1582
to declare,1583
to handle,1584
to destroy,1589
to influence,1595
to hide,1600
to match,1611
to transfer,1612
to recognize,1617
to recommend,1618
to address,1625
to realize,1629
to select,1632
to contact,1636
to combine,1638
to consist,1655
to dress,1660
to belong,1664
to welcome,1691
to undertake,1695
to disappear,1703
to secure,1717
to recall,1722
to shout,1723
to generate,1724
to display,1726
to shut,1729
to imply,1731
to step,1735
to fear,1739
to succeed,1740
to rely,1751
to escape,1752
to score,1753
to organise,1757
to direct,1763
to conclude,1764
to climb,1767
to afford,1769
to approve,1780
to fix,1785
to remind,1795
to inform,1796
to investigate,1804
to roll,1805
to entitle,1812
to illustrate,1822
to ride,1824
to burn,1829
to jump,1833
to estimate,1834
to conduct,1835
to derive,1836
to comment,1837
to advise,1839
to satisfy,1842
to focus,1848
to exercise,1849
to wash,1854
to blow,1856
to gather,1859
to persuade,1864
to hand,1868
to matter,1874
to recover,1877
to hurt,1884
to lean,1887
to slip,1890
to accompany,1892
to earn,1894
to attach,1915
to count,1923
