#Verb,Root,Sep,Trans
,lieben,n,love
,brechen,n,to burst {burst, burst}
abbrechen,brechen,y,to abandon
anbrechen,brechen,y,broach
aufbrechen,brechen,y,to break open
ausbrechen,brechen,y,to break out
einbrechen,brechen,y,break in
zerbrechen,brechen,n,to break up
,machen,n,makes
untersuchen,suchen,n,investigate
,kaufen,n,to cash
,wohnen,n,to live
,essen,n,to eat {ate, eaten}
,trinken,n,bib
,gehen,n,to ambulate
,kochen,n,brew
,sprechen,n,to speak {spoke, spoken} (about)
,liegen,n,to lie {lay, lain}
ausscheiden,scheiden,y,to eliminate
abschmieren,schmieren,y,to grease
,fliegen,n,to go by plane
verstehen,stehen,n,to apprehend
,hören,n,to listen
,haben,n,have got to
,billigen,n,to approve
,sitzen,n,to sit {sat, sat}
,laufen,n,to walk
,schlagen,n,to bang
ausrichten,richten,y,to align
,stehen,n,to stand
,sterben,n,to pass away
,dehnen,n,to distend
,sammeln,n,to collect
fressen,essen,n,to devour
,schmieren,n,to daub
aufhören,hören,y,to break off
,schenken,n,donate
,packen,n,to grapple
,suchen,n,to hunt
,hindern,n,incapacitate
anstellen,stellen,y,hire
,lassen,n,to assume
aufstehen,stehen,y,to arise
,schlafen,n,to nod
bekommen,kommen,n,to get
antreten,treten,y,to report
zunehmen,nehmen,y,to accelerate
abnehmen,nehmen,y,slim
,zeichnen,n,to chart
,handeln,n,to act
,wirken,n,to act
,schöpfen,n,scoop
,spielen,n,to perform
,gewinnen,n,gain
,fallen,n,tumble
besuchen,suchen,n,to attend
,frieren,n,to be cold
,leben,n,to exist
auseinandersetzen,setzen,y,to explain
,streichen,n,to cancel
abbeißen,beißen,y,to bite off
übersetzen,setzen,n,to compile
,sagen,n,to tell {told, told}
,bringen,n,get
,schimpfen,n,badmouth
,tragen,n,to absorb
vorstellen,stellen,y,to envisage
widersprechen,sprechen,n,to contradict
,kennen,n,to aware
,tun,n,doing
versalzen,salzen,n,to oversalt
,rüsten,n,to set up
,fechten,n,to fence
,zwingen,n,to bludgeon
,messen,n,to gauge
,schweben,n,hanged
ankreuzen,kreuzen,y,to tick off
ausstrahlen,strahlen,y,to emanate
,holen,n,get
,atmen,n,to breathe
,schwimmen,n,to bathe
ankommen,kommen,y,to arrive
,baden,n,to bathe
,reiben,n,to chafe
,tauchen,n,to dip (in, into)
,springen,n,to branch
,prüfen,n,prove
überprüfen,prüfen,n,to review
,fluchen,n,to anathematize
,merken,n,memorize
abbauen,bauen,y,to abolish
abbestellen,bestellen,y,countermand
abblitzen,blitzen,y,to meet with a rebuff
abbringen,bringen,y,to dissuade
abdecken,decken,y,to mask
,werben,n,to tout
missachten,achten,n,to disobey
,helfen,n,to aid
,sondern,n,but
,teilen,n,to apportion
,kommen,n,come
,prügeln,n,to cudgel
verscheiden,scheiden,n,to pass away
,schauen,n,to look
bestechen,stechen,n,bribe
aussprechen,sprechen,y,to pronounce
,nehmen,n,take
annehmen,nehmen,y,to accept
,tauschen,n,to barter
,leihen,n,hire
,öffnen,n,to open
,schwärzen,n,blacken
anschwärzen,schwärzen,y,to blacker
,schießen,n,to fire
,wiegen,n,to dandle
gerinnen,rinnen,n,coagulate
,wechseln,n,to alternate
erröten,röten,n,to blush
,kündigen,n,to abrogate
verschwinden,schwinden,n,to disappear
,rechnen,n,arithmetic
eindringen,dringen,y,to infiltrate
,ehren,n,to dignify
hinterlassen,lassen,n,to leave behind
,schrauben,n,to screw
,decken,n,defray
,treten,n,to kick
erholen,holen,n,to recover
verlieben,lieben,n,to fall in love
gefrieren,frieren,n,to freeze {froze, frozen}
einfrieren,frieren,y,to freeze {froze, frozen}
,fliehen,n,to flee {fled, fled}
,bauen,n,to build
anfangen,fangen,y,to begin
,rufen,n,calls
,fragen,n,to ask
,erhalten,n,get
einschlafen,schlafen,y,to fall asleep
,schwinden,n,dwindle
,antworten,n,to answer
bestehen,stehen,n,insist
,stellen,n,to put
bedeuten,deuten,n,connote
anhören,hören,y,to listen
anzünden,zünden,y,kindle
ausruhen,ruhen,y,to relax
darstellen,stellen,y,to depict
,schleppen,n,to drag
entstehen,stehen,n,to accrue
,zeigen,n,shown
,gelten,n,be valid
,dienen,n,to conduce
,bleiben,n,abided
besitzen,sitzen,n,to have (had, had)
,dürfen,n,durst
unterscheiden,scheiden,n,distinguish
erkennen,kennen,n,to detect
vertreten,treten,n,to act for
,zählen,n,tallying
